output_idx,sent_idx,model,display_english_first,rater_idx,rating,rater_comment,adjusted_rating
18487,0,ref,1,5315,4,,4.104873431444550
18487,0,ref,1,19035,4,,4.7298015147626200
18487,0,ref,1,13903,4,,4.421711878075470
18488,1,ref,0,13903,2,,2.109999275240000
18488,1,ref,0,6855,2,,1.530981567456180
18488,1,ref,0,6761,3,,2.140389878082890
18489,2,ref,1,19035,4,,4.437805723307890
18489,2,ref,1,18233,3,"Both sides consistent meaning, but some mismatch in sentence structure",2.93781110078741
18489,2,ref,1,18359,4,,3.985136210388750
18490,3,ref,0,7153,3,,3.5336214378116800
18490,3,ref,0,17153,4,,4.117999981119710
18490,3,ref,0,14114,4,,4.764033666442800
18491,4,ref,1,13903,4,,4.588620822222980
18491,4,ref,1,14334,2,,2.394203151698570
18491,4,ref,1,14120,4,,4.562137768406510
18492,5,ref,0,10244,4,,3.386103475486620
18492,5,ref,0,14120,3,,3.129685589811130
18492,5,ref,0,10602,3,,3.203641180001690
18493,6,ref,1,14334,4,,4.324766734329380
18493,6,ref,1,13903,4,,4.519184404853790
18493,6,ref,1,17153,3,,2.485910565865870
18494,7,ref,0,14120,4,,4.317201923153560
18494,7,ref,0,14334,3,,3.1492673064456300
18494,7,ref,0,13903,4,,4.3436849769700300
18495,8,ref,1,10244,4,,3.355909572507580
18495,8,ref,1,13903,4,,4.125974740648560
18495,8,ref,1,14120,3,,3.099491686832090
18496,9,ref,1,10602,4,,4.379974459161750
18496,9,ref,1,19035,3,,3.640591559474810
18496,9,ref,1,17153,3,,2.29922808379974
18497,10,ref,1,4632,4,,3.975136959485810
18497,10,ref,1,6855,4,,3.739389618563870
18497,10,ref,1,19035,4,,4.626496963034830
18498,11,ref,1,19035,4,,4.652722997691090
18498,11,ref,1,14334,4,,4.150215690479550
18498,11,ref,1,14120,4,,4.31815030718748
18499,12,ref,0,14334,4,,3.89957977106436
18499,12,ref,0,19035,4,,4.402087078275910
18499,12,ref,0,5785,3,,2.382979460295370
18500,13,ref,0,14120,4,,4.384085190101210
18500,13,ref,0,5087,3,,3.058424240260830
18500,13,ref,0,14334,4,,4.216150573393280
18501,14,ref,0,5315,4,,3.820017770735720
18501,14,ref,0,18359,4,,3.9922763411346500
18501,14,ref,0,18675,4,,3.5753744346137300
18502,15,ref,1,14114,4,,3.721754160091210
18502,15,ref,1,13903,4,,4.108994313756030
18502,15,ref,1,17153,3,,2.075720474768110
18503,16,ref,1,14120,4,,3.9264975186544200
18503,16,ref,1,13903,4,,3.9529805724708800
18503,16,ref,1,18233,4,,3.761075586637560
18504,17,ref,0,14120,4,,4.2341623871443700
18504,17,ref,0,14334,4,,4.066227770436430
18504,17,ref,0,13903,4,,4.260645440960840
